Загородный пр. 32-44;2017-04-27;48295078
Социалистическая ул. 1-7;2017-04-27;48402316
Правды ул. 1-9;2017-04-27;48410533
Бол. Московская ул. 1-15;2017-04-27;48441465
Владимирская пл. юг-зап;2017-04-27;48463268
Кузнечный пер. 2-12;2017-04-27;48464151
Грибоедова кан. наб. 38-40;2017-04-28;48580801
Мучной пер. 1-9;2017-04-28;48585735
Садовая ул. 25;2017-04-28;48612860
Банковский пер. 2-6;2017-04-28;48616696
Грибоедова кан. наб. 28-32;2017-04-28;48617580
Ломоносова ул. 1;2017-04-28;48672026
Мал. Садовая ул. 1-3;2017-04-28;48769738
Итальянская ул. 23-25;2017-04-28;48770539
Садовая ул. 8-10;2017-04-28;48801607
Инженерная ул. 7-11;2017-04-28;48802581
Инженерная ул. 13;2017-04-28;48803616
Манежный пер. 6-12;2017-04-28;48804533
Маяковского ул. 54-56;2017-04-28;48805116
Кирочная ул. 55-61;2017-04-28;48805454
Новгородская ул. 20;2017-04-28;
Новгородская ул. 10-18;2017-04-28;48806033
Новгородская ул. 4-8;2017-04-28;48806279
Литейный пр. 1;2017-05-03;
Литейный пр. 3;2017-05-03;48820214
Литейный пр. 5-21;2017-05-03;48823831
Литейный пр. 23-45;2017-05-03;48825195,48831703
Белинского ул. 6-8;2017-05-03;48959706
Белинского ул. 2;2017-05-03;48959889
Белинского пл. юг;2017-05-03;48959972
Караванная ул. 2-16;2017-05-03;48960626,48960680
Итальянская ул. 14-16;2017-05-03;48979081
Фонтанки наб. 21-29;2017-05-03;48980680,48980906
Фонтанки наб. 31-55;2017-05-03;48983219
Фонтанки наб. 68-74;2017-05-03;
Фонтанки наб. 78-80;2017-05-03;48985414
Фонтанки наб. 82-86;2017-05-03;48985741
Казанская ул. 1-19;2017-05-11;49151188
Невский пр. 17-25;2017-05-11;49152408
Невский пр. 15;2017-05-11;49152837
Бол. Морская ул. 2-12;2017-05-11;49153827
Дворцовая пл. 6-8;2017-05-11;49154278
Зимней канавки наб. юг-вост;2017-05-11;
Миллионная ул. 20-32;2017-05-11;49199049
Миллионная ул. 4-18;2017-05-11;49200660
Миллионная ул. 2;2017-05-11;
Суворовская пл. вост;2017-05-11;
Дворцовая наб. 2-4;2017-05-11;49211681
Кутузова наб. 24-36;2017-05-11;49212250
Кутузова наб. 4-22;2017-05-11;49212714
Кутузова наб. 2;2017-05-11;
Шпалерная ул. 21-35;2017-05-11;49213828
Шпалерная ул. 37-41;2017-05-11;49214668
Шпалерная ул. 43-47;2017-05-11;49215237
